slug,description
2-8-inch-exquisite-handcrafted-brass-lakshmi-ganesha-idol,"Item Name: 2.8 Inch Exquisite Handcrafted Brass Lakshmi Ganesha Idol Material: The Laxmi Ganesh Murti is made from High-Quality Brass Material Size/ Dimension: Ganesh - Height: 7 cm, Length: 5.5 cm, Weight: 240 Grams Laxmi - Height: 7.5 cm, Length: 5.5 cm, Weight: 250 Grams Weight: (Both Idols) - 490 Grams (Approx) About Product: The 2.8 Inch Exquisite Handcrafted Brass Lakshmi Ganesha Idol is a charming and intricately designed piece of spiritual art. Expertly crafted from high-quality brass, this idol showcases the divine forms of Goddess Lakshmi, the embodiment of wealth and prosperity, and Lord Ganesha, the remover of obstacles and the harbinger of good fortune. Its 2.8-inch size makes it an ideal choice for smaller spaces such as desks, shelves, or personal shrines. The handcrafted detailing and polished finish add a touch of elegance, making it not only a spiritual asset but also a beautiful decorative piece. This idol is perfect for bringing blessings of prosperity, success, and positivity into your life or as a thoughtful gift for loved ones. Puja Room Decor | Brass Gift Item for Housewarming | Handmade Brass Lakshmi Ganesha Idol | Antique Finish Lakshmi Ganesha Idol | Ex clusive Brass Idol | Brass Idol | Brass Lakshmi Ganesh Pair Idol |"
2-8-inch-holy-presence-of-maa-durga,"Item Name : 2.8 Inch Holy Presence of Maa Durga Material : The Sherawali Mata Murti is made from High-Quality Brass Material Size/Dimension : Height: 7 cm, Length: 6 cm Weight : 212 Grams (approx) About Product : Experience the divine protection and blessings of Maa Durga with this 2.8-inch Sherawali Mata idol , perfect for your car dashboard. Crafted with intricate detailing and vibrant colors , this idol symbolizes strength, positivity, and spiritual guidance on every journey. Its compact size ensures a seamless fit while adding a sacred aura to your vehicle. Made from high-quality, durable materials , this idol is designed to withstand time and travel. Let Maa Durga’s holy presence safeguard your rides, bringing peace, prosperity, and protection wherever you go. Brass Maa Durga Idol for Home Temple | Puja Room Decor | Brass Gift Item for Housewarming | Handmade Brass Maa Durga Idol | Antique Finish Maa Durga | Exclusive Brass Idol | Brass Idol | Brass Maa Durga Idol |"
2-8-inch-maa-durga-s-divine-presence-in-your-car,"Item Name : 2.8 Inch Maa Durga’s Divine Presence in Your Car Material : The Sherawali Mata Murti is made from High-Quality Brass Material Size/Dimension : Height: 7 cm, Length: 5.5 cm Weight : 170 Grams (approx) About Product : Experience Maa Durga’s powerful blessings with this 2.8-inch Sherawali Mata dashboard idol . Designed for protection, strength, and positivity , this compact and beautifully crafted idol ensures safe travels and divine guidance on every journey. Features: ✔️ Perfect Size (2.8 inches) – Ideal for car dashboards without obstruction. ✔️ Symbol of Protection & Strength – Brings Maa Durga’s grace and blessings. ✔️ Premium Craftsmanship – Intricately designed with a divine finish. ✔️ Durable & Elegant – Long-lasting and adds a spiritual touch to your vehicle. Drive with faith, safety, and Maa Durga’s presence by your side! Festival Gift Durga Statue | Brass Maa Durga Idol | Puja Room Decor | Brass Gift Item for Housewarming | Handmade Brass Maa Durga Idol | Antique Finish Maa Durga Idol | Exclusive Brass Idol | Brass Durga Maa Idol Car Dashboard |"
2-9-inch-brass-nataraj-idol,"Item Name : 2.9 Inch Brass Nataraj Idol Material: Brass Natraj Idol is made from high-quality and Virgin Brass Material. Size/ Dimension: Height: 7.5 cm, Length: 23.5 cm, Width: 18.5 cm Weight: 1215 Grams About the Product: Place one of the nicest and most exquisite brass representations of Lord Natraj in your living room to give it an ancient feel. The exquisitely hand-crafted idol glows and has the most impeccable finishing, giving the dancing Shiva a rich and elegant appearance. It is revered by dancers and is the perfect present for a classical dancer. Brass Nataraja Idol | Lord Shiva Nataraj Idol | Divine Natraj for home decor | Handmade Brass Nataraj Idol | Antique Finish Natraj Idol | Brass Idol | Exclusive Brass Idol | Brass Nataraj Idol for Puja Room |"
2-inch-brass-laxmi-ganesh-idol,"Item Name: 2 Inch Brass Lakshmi Ganesha Idol Material: The Laxmi Ganesh Murti is made from High Quality Brass Material Size/ Dimension: Height: 5 cm, Length: 6.5 cm Weight: 120 Grams (Approx) About Product: Laxmi Ganesh statue idol capital Laxmi Ganesh Murti is a symbol of Good Marital Life, Happiness, and peace in relationships which is made from Virgin Quality Brass for long-lasting use. Handmade product from the Artisanship of India's Craftsman Using Modern Style. Perfect to gift for anniversaries, Weddings, Receptions, Office parties, housewarming party gifts, home inauguration gifts, and return gift ideas. Puja Room Decor | Brass Gift Item for Housewarming | Premium Brass Idols for Sale | Handmade Brass Laxmi Ganesh Idol | Antique Finish Laxmi Ganesh Statue | Exclusive Brass Idol | Brass Idol | Brass Laxmi Ganesh Idol for Home Temple |"
2-inch-brass-pyramid-for-vastu-healing,"Item Name Brass Pyramid – Energized Vastu Corrector & Spiritual Enhancer Material Pure Brass Dimensions length- 5.5cm, height- 5.5cm, weight- 370 gram About Product The Brass Pyramid is a sacred geometric tool widely used in Vastu Shastra and spiritual practices for energy correction and positivity. Crafted from pure brass, this pyramid symbolizes stability, focus, and upward spiritual movement. Its structure helps in balancing the flow of energy in homes and offices, harmonizing the space with cosmic vibrations. Ideal for those seeking peace, prosperity, and spiritual balance, the brass pyramid radiates protective energy and wards off negative influences. It acts as a powerful energizer when placed in pooja rooms, workstations, or near electronic appliances to neutralize electromagnetic stress. Benefits Corrects vastu defects and stabilizes space energy Attracts prosperity, peace, and positivity Protects against negativity and evil influences Enhances meditation and mental clarity Harmonizes electromagnetic fields in homes/offices Uses Place at home corners for Vastu correction Keep on your office desk or workspace Use during meditation for concentration and grounding Ideal gift for housewarming or spiritual occasions Brass Pyramid | Vastu Brass Pyramid | Energy Pyramid for home | Healing Brass Pyramid | Pyramid for positivity | Small brass pyramid | Spiritual pyramid tool | Vastu remedy product | Brass pyramid for meditation | Buy brass pyramid online"
2-inch-divine-brass-shiv-parivar-with-shivling,"Item Name : 2 Inch Divine Brass Shiv Parivar with Shivling Material: The Shivalingam Murti is made from High-Quality Brass Material Dimensions: Height: 5 cm, Length: 7.5 cm. Weight: 326 Grams (Approx) About Product: Celebrate the divine family of Lord Shiva with this beautifully crafted 2 Inch Brass Shiv Parivar idol, showcasing Shiva, Parvati, Ganesh, and Kartikeya alongside the sacred Shivling. This brass idol radiates powerful spiritual energy, symbolizing unity, protection, and prosperity. Ideal for your home altar or meditation space, it invites blessings, peace, and harmony into your surroundings. Whether for personal devotion or as a thoughtful gift, this Shiv Parivar idol reflects the timeless grace and divine presence of Lord Shiva’s family. Brass Shiv Parivar | Shivling Idol | Lord Shiva Family Idol | Home Pooja Decor | Spiritual Energy | Hindu Deity Idol | Divine Blessings | Meditation Aid | Religious Gift Item"
2-inch-laxmi-ganesh-car-dashboard-idol,"Item Name: 2 Inch Laxmi Ganesh Car Dashboard idol Material: The Laxmi Ganesh Murti is made from High-Quality Brass Material Size/ Dimension: Ganesh - Height: 5 cm, Length: 3 cm. Laxmi - Height: 5 cm, Length: 3 cm. Weight: (Both Idols) - 164 Grams (Approx) About Product: The 2-inch Laxmi Ganesh Car Dashboard Idol is a beautifully crafted, compact statue designed to bring blessings and protection to your vehicle. Featuring Goddess Lakshmi , the symbol of wealth and prosperity, and Lord Ganesha , the remover of obstacles, this idol is perfectly sized for your car dashboard. Made with intricate detailing and a polished finish, it adds a touch of spirituality while offering divine blessings and positive energy for every journey. Ideal for car owners, it’s a thoughtful addition to bring good fortune and protection on the road. Puja Room Decor | Brass Gift Item for Housewarming | Handmade Brass Laxmi Ganesh Idol | Antique Laxmi Ganesh Statue | Exclusive Brass Idol | Brass Idol | Brass Laxmi Ganesh Idol for Temple | Laxmi Ganesha Car Dashboard |"
2-mukhi-4-6mm-semi-pathriya-rudraksha-mala,"Item Name: 2 Mukhi Rudraksha Mala – Symbol of Unity, Emotional Healing & Love Material: Natural 2 Mukhi Rudraksha Beads Bead Size: Bead size may be vary Certification: Yes, OSOC™ Certified. Know More about OSOC™ Click Here About Product The 2 Mukhi Rudraksha Mala is a sacred mala made from natural Rudraksha beads featuring two clear and natural partitions. This bead symbolizes Ardhanarishwara , the unified form of Lord Shiva and Goddess Parvati, representing perfect balance between masculine and feminine energies , unity, and deep emotional healing. This mala is especially beneficial for maintaining harmony in relationships—whether between partners, parents and children, or colleagues. It helps in resolving emotional conflicts, building trust, and attracting love and peace. Ideal for those who are seeking connection, forgiveness, or balance in their personal lives. Product Details Colour of the Bead: Brown Ruling God / Planet: Ardhanarishwara (Shiva–Parvati) / Moon Beej Mantra: ॐ नमः (Om Namah) Gender: Unisex Origin: Nepal / Indonesia Uses of Rudraksha Japa and mantra chanting for relationship harmony Daily spiritual wear for emotional stability Healing past emotional wounds Strengthening partnerships and trust Meditation for inner peace and connection Benefits of Rudraksha Brings emotional balance and calmness Heals heart-related chakra imbalances Helps strengthen bonds between couples and family Reduces misunderstandings and emotional stress Supports mental peace and compassionate behavior How to Use Wear the mala close to your heart or use it during meditation and japa sessions. Chant the Beej Mantra as you move through each bead. To maintain energy purity, clean with a soft cloth and energize under early morning sunlight or by mantra chanting. 2 mukhi rudraksha mala | unity rudraksha beads | shiv parvati rudraksha | rudraksha for relationships | emotional healing rudraksha | moon ruled rudraksha | nepali rudraksha mala | japa mala for harmony | original rudraksha for couples"
2-mukhi-kantha-rudraksha-mala,"Item Name: 2 Mukhi Kantha Rudraksha Mala Material : Made from High Quality 2 Mukhi Kantha Rudraksha Mala Bead Size- 14.7mm Certification: Yes, OSOC™ Certified. Know More about OSOC™ Click Here About Product: The 2 Mukhi Kantha Rudraksha Mala is made from authentic brown Rudraksha beads, symbolizing the union of Shiva and Shakti. Known for its powerful spiritual and emotional benefits, this mala brings harmony in relationships and promotes inner peace. It is especially helpful for couples, meditators, and those seeking balance and calmness in life. Product Details: Colour of the Bead : Brown Scientific Name of Stone : Elaeocarpus ganitrus Ruling God / Planet : Ardhanarishwara (Shiva-Shakti) / Moon Beej Mantra : “ॐ नमः” (Om Namah) Gender : Unisex Origin : Nepal or Indonesia (based on availability) Uses: Best for meditation , relationship healing , and emotional balance Ideal for those facing difficulties in marriage or partnerships Suitable for daily wear or use during spiritual practices and Japa Benefits: Promotes unity and harmony in relationships Helps balance emotional energies and reduces inner conflicts Aligns heart and mind, enabling peaceful decision-making Boosts confidence in social and personal connections How to Use: Wear around the neck throughout the day, especially during prayer or meditation. For best results, energize it on Monday and chant the Beej Mantra: “ॐ नमः” (Om Namah) regularly. Ensure it stays clean and spiritually charged. 2 mukhi rudraksha mala | original rudraksha for couples | two faced rudraksha mala | rudraksha for relationships | 2 mukhi kantha mala | spiritual healing beads | rudraksha necklace for harmony"
2-mukhi-rudraksha-mala-6-7mm,"Item Name 2 Mukhi Rudraksha Mala – Symbol of Unity, Emotional Healing & Love Material Natural 2 Mukhi Rudraksha Beads Bead Size 6-7mm Certification: Yes, OSOC™ Certified. Know More about OSOC™ Click Here About Product The 2 Mukhi Rudraksha Mala is a sacred mala made from natural Rudraksha beads featuring two clear and natural partitions. This bead symbolizes Ardhanarishwara , the unified form of Lord Shiva and Goddess Parvati, representing perfect balance between masculine and feminine energies , unity, and deep emotional healing. This mala is especially beneficial for maintaining harmony in relationships—whether between partners, parents and children, or colleagues. It helps in resolving emotional conflicts, building trust, and attracting love and peace. Ideal for those who are seeking connection, forgiveness, or balance in their personal lives. Product Details Colour of the Bead: Brown Ruling God / Planet: Ardhanarishwara (Shiva–Parvati) / Moon Beej Mantra: ॐ नमः (Om Namah) Gender: Unisex Origin: Nepal / Indonesia Uses of Rudraksha Japa and mantra chanting for relationship harmony Daily spiritual wear for emotional stability Healing past emotional wounds Strengthening partnerships and trust Meditation for inner peace and connection Benefits of Rudraksha Brings emotional balance and calmness Heals heart-related chakra imbalances Helps strengthen bonds between couples and family Reduces misunderstandings and emotional stress Supports mental peace and compassionate behavior How to Use Wear the mala close to your heart or use it during meditation and japa sessions. Chant the Beej Mantra as you move through each bead. To maintain energy purity, clean with a soft cloth and energize under early morning sunlight or by mantra chanting. 2 mukhi rudraksha mala | unity rudraksha beads | shiv parvati rudraksha | rudraksha for relationships | emotional healing rudraksha | moon ruled rudraksha | nepali rudraksha mala | japa mala for harmony | original rudraksha for couples"
2-pc-laxmi-ganesha-pair-metal-diya,"Item Name: 2 Pc Laxmi Ganesha Pair Metal Diya Material: Made of 100% Pure Virgin Metal. Sturdy, Durable and Long Lasting. Dimensions: Diameter: Width: 5 Cm , Height: 8.35 Cm. (Each Diya) Weight: 132 Grams (Both Diya) About Product: Satvik Beautiful Metal statue of Ganesh with attached Diya in Traditional Indian style - Diwali Special Terracotta. This designer handicraft is perfect for Diwali Decoration in the Living Room, Mandir, and Dining Room You can place it at every corner of your home to feel the warmth of the festival. This handmade Diwali handicraft is very artistically designed. Diyas are an essential part of Diwali decoration. To consider this we came up with a beautiful range of Diwali Collections. You can decor your home on Diwali festival with Diya, Tea-light holders, oil lamps, earthen diya, traditional diya, natural diya, colorful diya, designer diya, clay diya, terracotta diya, plain diya, stone diya, metal diya, shadow diya, door valance, toran, rangoli, colors, puja thali, pooja thali, platter, frills, hanging ball, paper lentern, big diyas, laxmi ganesha statue, luxmi, lakshmi, lord ganesha, Ganpati, diwali pujan, deepmala. Use the above items to decorate your home. Laxmi Ganesha Diya | Metal Diya Pair | Lakshmi Ganesha Lamp | Hindu Pooja Diyas | Spiritual Diya Pair | Ganesha Lakshmi Lamp | Religious Diya Pair | Home Decor Diya | Lakshmi Ganesha Idol diya |"
20-inch-divya-brass-ganesha-idol,"About the Product: 20 Inch Divine Brass Ganesha Idol Material: The Ganesha Idol is made from Pure Brass Virgin Material. Size/Dimension : Height: 52 cm, Length: 40 cm, Width: 22 cm Weight: 25550 grams About Product: Elevate your living space with this beautifully crafted Brass Ganesha Idol, a timeless symbol of peace, wisdom, and spiritual serenity it comes in temple size. Expertly designed with intricate details, this elegant piece is both a stunning decor item and a reminder of mindfulness and tranquility. Ideal for home, office, or meditation spaces, the Brass Ganesha Murti showpiece brings a calming presence and promotes a sense of balance and harmony. Its rich, golden hue and graceful design make it a versatile addition to any interior style, from traditional to modern. Whether as a gift for loved ones or a personal treasure, this Brass Ganesha Statue is a perfect way to invite positive energy, inner peace, and prosperity into your home. Puja Room Decor | Brass Gift Item for Housewarming | Premium Brass Idols for Sale | Handmade Brass Ganesha Murti | Antique Finish Ganesha Statue | Exclusive Brass Idol | Brass Idol | Brass Ganesha Murti for Temple |"
21-inch-brass-embossed-peacock-kerala-stand-1-step-diya,"Item Name: 21 Inch Brass Embossed Peacock Kerala Stand 1 Step Diya Material: Made of Virgin Quality Brass Dimensions: Height: 54.6 cm Length: 18.5 cm Weight: 2300-2400 Grams (Each) About Product: Introducing the Large Brass Kerala Peacock Diya, an exquisite masterpiece available exclusively at Satvikstore.in. This diya lamp beautifully captures the essence of Kerala's rich artistry, adorned with elegant peacock motifs that exude grace and grandeur. Versatile and sacred, this diya lamp is perfect for various auspicious occasions. Whether it's an inauguration, a special event, Diwali celebrations, Mahayags, or pooja samaroh, its presence radiates positivity and bestows blessings upon the surroundings. During the joyous Diwali festivities, the Brass Kerala Peacock Diya takes center stage in your decor, illuminating your home with a warm glow and infusing the ambiance with the spirit of the festival. Its intricate design and meticulous craftsmanship showcase the skilled expertise of Kerala's craftsmen, elevating it to a symbol of artistic brilliance and cultural heritage. Inspired by the grandeur of the Mahabharata era, this diya lamp becomes a captivating conversation piece, reflecting the timeless beauty of ancient Indian art and mythology. Its brass construction ensures durability, making it a cherished item that will stand the test of time, passing down the legacy to generations. As you light the Large Brass Kerala Peacock Diya during Mahayags and pooja samarohs, its radiant glow symbolizes the divine energy, bringing spiritual enlightenment and prosperity to the rituals. 21 Inch Embossed Brass Peacock Kerala Samai Diya | Brass Peacock Diya | Kerala Samai Deepam | Embossed Brass Diya | Traditional Kerala Diya | Brass Oil Lamp | Spiritual Brass Lamp | Pooja Diya | Peacock Design Diya | Kerala Temple Lamp | Indian Ritual Lamp | Brass Diya for Pooja"
21-inch-brass-kerala-chandarbalyam-samai-diya,"Item Name: Handmade Chandarbalyam one Step Diya. Material: Made with High and Best Quality Brass material. Dimensions: Height: 53 cm (21 Inch), Length:14 cm, Weight : Diya Weight:1270 g About Product: The 21 Inch Brass Kerala Chandarbalyam Samai Diya is a majestic representation of traditional craftsmanship, designed to bring a divine and graceful touch to any spiritual space. Crafted from high-quality virgin brass, this diya showcases the intricate Chandarbalyam design, which symbolizes prosperity and sacredness. With a height of 21 inches, it is perfect for large temples, ceremonial pooja rooms, and festive occasions, making a bold statement while enhancing the spiritual ambiance. The diya’s radiant glow adds warmth and peace to your surroundings, creating an atmosphere of serenity. Ideal for religious rituals, festivals, and inaugurations, this brass diya serves as both a functional and decorative piece for any sacred occasion. 21 INCH Brass Kerala Chandarbalyam Samai Diya | Brass Kerala Samai Diya | Chandarbalyam Diya | Kerala Pooja Lamp | Traditional Brass Diya | Brass Deepam | Handcrafted Kerala Diya | Spiritual Brass Lamp | Temple Diya | Pooja Samai Diya | Festival Brass Lamp | Kerala Temple Lamp"
21-inch-grand-brass-lord-ganesha-idol-antique-finish,"About the Product: 21 Inch Grand Brass Lord Ganesha Idol – Antique Finish Material: The Grand Brass Lord Ganesha Idol is made from Pure Brass Virgin Material. Size/Dimension : Height: 54 cm, Length: 37 cm, Width: 25 cm Weight: 20.850 grams About Product: Elevate your living space with this beautifully crafted Brass Grand Lord Ganesha Idol, a timeless symbol of peace, wisdom, and spiritual serenity it comes in temple size. Expertly designed with intricate details, this elegant piece serves as both a stunning decor item and a reminder of mindfulness and tranquility. Ideal for home, office, or meditation spaces, the Brass Goddess Grand Lord Ganesha Murti showpiece brings a calming presence and promotes a sense of balance and harmony. Its rich, golden hue and graceful design make it a versatile addition to any interior style, from traditional to modern. Whether as a gift for loved ones or a personal treasure, this Brass Grand Lord Ganesha Statue is a perfect way to invite positive energy, inner peace, and prosperity into your home. Premium Brass Idols | Handmade Brass Ganesha Idol | Antique Finish Ganesha Statue | Exclusive Brass Idol | Brass Idol | Brass Ganesha Idol for Temple | Brass Ganesha Idol |"
22-5-23-inch-brass-peacock-kerala-diya,"Item Name: 57.2 cm (22.5-23 Inch) Peacock Single Step Diya Dimensions: Height - 57.2 cm and Length: 17 cm Material: Made from Virgin Quality Brass Material Which makes this Diya Durable, Sturdy, and Long Lasting. Weight: 1270-1275 gram (Each) About Product: Bring a majestic touch to your sacred space with the 23 Inch Brass Peacock Kerala Diya . This exceptional diya is handcrafted from premium virgin brass, featuring an intricately designed peacock motif that symbolizes beauty, prosperity, and divine blessings. At an impressive height of 23 inches, it makes a striking statement in large pooja ceremonies, temple rituals, and significant spiritual events. The durability and timeless design ensure this diya remains a cherished piece for years to come, while its warm, radiant glow fills your space with spiritual energy and peace. Perfect for grand occasions and spiritual practices, this diya embodies elegance and tradition in every detail. 23 Inch Brass Peacock Kerala Diya | Brass Peacock Diya | Kerala Pooja Lamp | Brass Deepam | Traditional Brass Diya | Spiritual Brass Lamp | Pooja Diya | Kerala Temple Lamp | Handcrafted Brass Diya | Brass Oil Lamp | Peacock Design Diya | Indian Ritual Lamp"
23-inch-1-step-brass-embossed-peacock-kerala-stand-diya,"Item Name: 23 Inch 1 Step Brass Embossed Peacock Kerala Stand Diya Material: Made of Virgin Quality Brass Dimensions: Height: 57.2 cm Length: 22.5 cm Weight: 2400-2500 Grams (Each) About Product: Introducing the Large Brass Kerala Peacock Diya, an exquisite masterpiece available exclusively at Satvikstore.in. This diya lamp beautifully captures the essence of Kerala's rich artistry, adorned with elegant peacock motifs that exude grace and grandeur. Versatile and sacred, this diya lamp is perfect for various auspicious occasions. Whether it's an inauguration, a special event, Diwali celebrations, Mahayags, or pooja samaroh, its presence radiates positivity and bestows blessings upon the surroundings. During the joyous Diwali festivities, the Brass Kerala Peacock Diya takes center stage in your decor, illuminating your home with a warm glow and infusing the ambiance with the spirit of the festival. Its intricate design and meticulous craftsmanship showcase the skilled expertise of Kerala's craftsmen, elevating it to a symbol of artistic brilliance and cultural heritage. Inspired by the grandeur of the Mahabharata era, this diya lamp becomes a captivating conversation piece, reflecting the timeless beauty of ancient Indian art and mythology. Its brass construction ensures durability, making it a cherished item that will stand the test of time, passing down the legacy to generations. As you light the Large Brass Kerala Peacock Diya during Mahayags and pooja samarohs, its radiant glow symbolizes the divine energy, bringing spiritual enlightenment and prosperity to the rituals. 21 Inch Embossed Brass Peacock Kerala Samai Diya | Brass Peacock Diya | Kerala Samai Deepam | Embossed Brass Diya | Traditional Kerala Diya | Brass Oil Lamp | Spiritual Brass Lamp | Pooja Diya | Peacock Design Diya | Kerala Temple Lamp | Indian Ritual Lamp | Brass Diya for Pooja"
23-inch-brass-chowki-on-elephant-with-hanging-bells-exquisite-decorative-piece,"Item Name : 23 Inch Decorative Brass Chowki With Hanging Bells Material : This Krishna & Table is made from high-quality Brass Material Size/ Dimension: Height: 54 cm, Width: 33 cm, Length: 33.5 cm, Weight: 26580 Grams About Product : This 23 Inch Brass Chowki on Elephant with Hanging Bells is a stunning blend of artistry and tradition. Crafted from high-quality brass, the intricate detailing of the elephant and the delicately suspended bells add a touch of elegance to any space. Perfect for home décor, pooja rooms, or as a unique gift, this showpiece symbolizes grace and spirituality. The melodious sound of the hanging bells adds a calming ambiance, making it an ideal addition to your sacred or living space. Puja Room Decor | Antique Finish Brass Decor | Premium Brass Chowki on Elephant | Brass Chowki on Elephant | Brass Chowki | Brass Elephant Chowki | Brass Chowki for Puja | Brass Platform for Temple |"
23-inch-elegant-brass-ram-darbar-idol,"Item Name: 23 Inch Elegant Brass Ram Darbar Idol Material: High-Quality Brass. Dimension: Height: 58 cm, Length: 47 cm, Width: 22 cm. Weight: 23390 Grams About Product: This Elegant Brass Ram Darbar Idol beautifully captures the essence of divinity and royalty. Crafted with intricate detailing, it showcases Lord Ram in a regal pose, symbolizing strength, devotion, and grace. The high-quality brass construction adds durability, while its elegant design makes it a perfect centerpiece for your home, temple, or as a meaningful gift. Elevate your spiritual space with this timeless idol, bringing peace and divine blessings to your surroundings. Puja Room Decor | Brass Gift Item for Housewarming | Premium Brass Idols for Sale | Handmade Brass Ram Darbar Idol | Antique Finish Ram Darbar Statue | Exclusive Brass Idol | Brass Idol | Elegant Brass Ram Darbar For Temple |"
23-inch-intricate-brass-durga-statue-on-lion-multi-armed-goddess-idol,"About the Product: 23 Inch Intricate Brass Durga Statue on Lion - Multi-Armed Goddess Idol Material: The Large Brass Durga Statue on the Lion is made from Pure Brass Virgin Material. Size/Dimension : Height: 60 cm, Length: 42 cm, Width: 15 cm Weight: 24850 grams (24.850kg) approx. About Product: Elevate your living space with this beautifully crafted Brass Maa Durga on Lion - Multi-Armed Goddess Statue , a timeless symbol of peace, wisdom, and spiritual serenity it comes in temple size. Expertly designed with intricate details, this elegant piece is both a stunning decor item and a reminder of mindfulness and tranquility. Ideal for home, office, or meditation spaces, the Brass Durga Statue on Lion - Multi-Armed Goddess Murti showpiece brings a calming presence and promotes a sense of balance and harmony. Its rich, golden hue and graceful design make it a versatile addition to any interior style, from traditional to modern. Whether as a gift for loved ones or a personal treasure, this Brass Durga Statue on Lion - Multi-Armed Goddess is a perfect way to invite positive energy, inner peace, and prosperity into your home Puja Room Decor | Brass Gift Item for Housewarming | Premium Brass Idols for Sale | Handmade Brass Durga Statue on Lion | Antique Finish Durga Statue | Exclusive Brass Idol | Brass Idol | Brass Durga Statue on Lion for Temple |"
23-inch-shree-ram-darbar-murti-ram-sita-lakshman-hanuman-brass-idol,"About the Product: 23 Inch Shree Ram Darbar Murti – Ram, Sita, Lakshman, Hanuman Brass Idol Material: The Shree Ram Darbaar Murti is made from Pure Brass Virgin Material. Size/Dimension : Height: 59 cm, Length: 45 cm, Width: 23 cm Weight: 25150 grams (25.150kg) approx. About Product: Elevate your living space with this beautifully crafted Brass Shree Ram Darbar Murti, a timeless symbol of peace, wisdom, and spiritual serenity it comes in temple size. Expertly designed with intricate details, this elegant piece is both a stunning decor item and a reminder of mindfulness and tranquility. Ideal for home, office, or meditation spaces, the Brass Shree Ram Darbar Murti showpiece brings a calming presence and promotes a sense of balance and harmony. Its rich, golden hue and graceful design make it a versatile addition to any interior style, from traditional to modern. Whether as a gift for loved ones or a personal treasure, this Brass Shree Ram Darbaar Statue is a perfect way to invite positive energy, inner peace, and prosperity into your home. Puja Room Decor | Premium Brass Idols for Sale | Handmade Brass Ram Darbaar Murti | Antique Finish Ram Darbaar Statue | Exclusive Brass Idol | Brass Idol | Brass Ram Darbaar Murti for Temple | Brass Ram Darbar Idol |"
24-inch-brass-kerala-diya-samai-lamp,"Item Name: Brass Kerala Samai Deepam Inauguration Lamp 24 Inch Material: Made of Virgin Quality of Brass Dimensions: Height: 60.96 cm Weight: 1380 Grams (Each) About Product: Introducing the Large Brass Kerala Diya Lamp – the epitome of elegance and tradition, available exclusively at Satvikstore.in. This exquisite diya lamp is a perfect blend of artistry and functionality, making it an ideal choice for various occasions and festivities. Keywords: Inauguration Diya Lamp, Kutthu Villaku Diya Lamp, Brass Diya Lamp for Main Entrance, Diya Lamp for Events, Brass Diya Lamp for Diwali Decor, Brass Diya Lamp for Mahayag, Mahabharat Diya Lamp, Brass Diya Lamp for Decoration, Brass Diya Lamp for Pooja Samaroh. Crafted from high-quality brass, this Kerala Diya Lamp boasts intricate designs and fine detailing, capturing the essence of Indian culture and heritage. Its large size makes it a statement piece, perfect for grand events, ceremonies, and auspicious celebrations. Designed to illuminate your space with a warm and inviting glow, this diya lamp holds a significant place in Indian rituals and traditions. It is an ideal choice for auspicious events like inaugurations, pooja samaroh, and mahayags, symbolizing the divine presence and bringing blessings to your home or venue. The Kutthu Villaku Diya Lamp design hails from Kerala, known for its exceptional craftsmanship and artistic brilliance. Its elegant form and aesthetic appeal make it a remarkable addition to your home decor during Diwali festivities or any special occasion. The Large Brass Kerala Diya Lamp is not just a functional piece but also a striking decor item. Its timeless design adds a touch of regal charm to any space, making it a perfect gifting option for your loved ones. Whether you place it at the main entrance of your home to welcome guests with its radiant light or use it to enhance the ambiance of your events and ceremonies, this diya lamp is sure to leave a lasting impression. Embrace tradition and elevate the spiritual aura of your surroundings with the Large Brass Kerala Diya Lamp from Satvikstore.in. Illuminate your life with this symbol of divine blessings and create cherished memories on special occasions and festivals. 24 Inch Brass Kerala Diya Samai Lamp | Brass Kerala Samai Diya | Traditional Kerala Diya | Kerala Pooja Lamp | Brass Deepam | Handcrafted Kerala Lamp | Spiritual Brass Lamp | Temple Diya | Inauguration Brass Diya | Indian Ritual Lamp | Decorative Brass Diya | Pooja Samai Lamp | Kerala Temple Lamp"
24-inch-large-shree-ram-darbaar-brass-idol,"About the Product: 24 Inch Shree Ram Darbaar Murti – Ram, Sita, Lakshman, Hanuman Brass Idol with Shringar Peeth Material: The Shree Ram Darbaar Murti is made from Pure Brass Virgin Material. Size/Dimension : Height: 63 cm, Length: 43 cm, Width: 26 cm Weight: 35450 grams (35.450kg) approx. About Product: Elevate your living space with this beautifully crafted Brass Shree Ram Darbaar Murti, a timeless symbol of peace, wisdom, and spiritual serenity it comes in temple size. Expertly designed with intricate details, this elegant piece is both a stunning decor item and a reminder of mindfulness and tranquility. Ideal for home, office, or meditation spaces, the Brass Shree Ram Darbaar Murti showpiece brings a calming presence and promotes a sense of balance and harmony. Its rich, golden hue and graceful design make it a versatile addition to any interior style, from traditional to modern. Whether as a gift for loved ones or a personal treasure, this Brass Shree Ram Darbaar Statue is a perfect way to invite positive energy, inner peace, and prosperity into your home. Puja Room Decor | Premium Brass Idols for Sale | Handmade Brass Ram Darbaar Idol | Antique Finish Ram Darbaar Statue | Exclusive Brass Idol | Brass Idol | Brass Ram Darbaar Idol for Temple | Brass Ram Darbar Idol |"
